Sample Name	Run	Experiment	spots	bases	spots_with_mates	avgLength	size_MB	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	Platform	Model	SRAStudy	BioProject	Sample	BioSample
ICE63	SRR095771	SRX039091	16300274	2086435072	16300274	128	1586	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155802	SAMN00194185
ICE7	SRR095782	SRX040790	13264378	1114207752	13264378	84	962	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155803	SAMN00194186
ICE7	SRR095785	SRX039097	15173592	1942219776	15173592	128	1387	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155803	SAMN00194186
ICE70	SRR095772	SRX040810	12571692	1056022128	12571692	84	866	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155804	SAMN00194187
ICE70	SRR095773	SRX039092	16387831	2097642368	16387831	128	1546	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155804	SAMN00194187
ICE71	SRR095774	SRX040811	18559620	1559008080	18559620	84	1332	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155805	SAMN00194188
ICE71	SRR095775	SRX039093	21093601	2699980928	21093601	128	2138	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155805	SAMN00194188
ICE72	SRR095776	SRX040812	13988199	1175008716	13988199	84	1015	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155806	SAMN00194189
ICE72	SRR095777	SRX039094	22074827	2825577856	22074827	128	2211	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155806	SAMN00194189
ICE73	SRR095778	SRX039095	13167742	1106090328	13167742	84	948	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155807	SAMN00194190
ICE73	SRR095779	SRX039095	32129115	2698845660	32129115	84	1885	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155807	SAMN00194190
ICE75	SRR095780	SRX040813	11125413	934534692	11125413	84	746	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155808	SAMN00194191
ICE75	SRR095781	SRX039096	20869467	2671291776	20869467	128	2015	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155808	SAMN00194191
ICE79	SRR095783	SRX040814	12525689	1052157876	12525689	84	899	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155809	SAMN00194192
ICE79	SRR095784	SRX039098	19408796	2484325888	19408796	128	2039	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155809	SAMN00194192
ICE91	SRR095786	SRX040815	14147120	1188358080	14147120	84	1031	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155810	SAMN00194193
ICE91	SRR095787	SRX039099	10564845	1352300160	10564845	128	843	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155810	SAMN00194193
ICE92	SRR095788	SRX040816	19417671	1631084364	19417671	84	1345	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155811	SAMN00194194
ICE92	SRR095789	SRX039100	11480244	1469471232	11480244	128	789	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155811	SAMN00194194
ICE93	SRR095790	SRX040817	12010608	1008891072	12010608	84	867	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155812	SAMN00194195
ICE93	SRR095791	SRX039101	17665760	2261217280	17665760	128	1793	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155812	SAMN00194195
ICE97	SRR095792	SRX040818	13434573	1128504132	13434573	84	982	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155813	SAMN00194196
ICE97	SRR095793	SRX039102	8512801	1089638528	8512801	128	669	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155813	SAMN00194196
ICE98	SRR095794	SRX040819	12489590	1049125560	12489590	84	882	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155814	SAMN00194197
ICE98	SRR095795	SRX039103	16043019	2053506432	16043019	128	1530	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155814	SAMN00194197
Istisu-1	SRR095796	SRX040820	11925255	1001721420	11925255	84	803	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155815	SAMN00194198
Istisu-1	SRR095797	SRX039104	19200616	2457678848	19200616	128	1809	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155815	SAMN00194198
Kastel-1	SRR095798	SRX041489	18346507	1541106588	18346507	84	1319	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155816	SAMN00194199
Kastel-1	SRR095799	SRX039105	15316679	1960534912	15316679	128	1053	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155816	SAMN00194199
Koch-1	SRR095800	SRX041490	9936387	834656508	9936387	84	670	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155817	SAMN00194200
Koch-1	SRR095801	SRX039106	14153504	1811648512	14153504	128	1075	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155817	SAMN00194200
Koch-1	SRR095802	SRX039106	15346978	1964413184	15346978	128	1501	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155817	SAMN00194200
Lag2.2	SRR095803	SRX039107	6178475	518991900	6178475	84	379	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155818	SAMN00194201
Lag2.2	SRR095804	SRX039107	8380919	703997196	8380919	84	549	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155818	SAMN00194201
Lag2.2	SRR095805	SRX039107	28238836	2372062224	28238836	84	1747	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155818	SAMN00194201
Leo-1	SRR095806	SRX041491	11916163	1000957692	11916163	84	835	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155819	SAMN00194202
Leo-1	SRR095807	SRX039108	17197915	2201333120	17197915	128	1589	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155819	SAMN00194202
Lerik1-3	SRR095808	SRX041492	11768029	988514436	11768029	84	822	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155820	SAMN00194203
Lerik1-3	SRR095809	SRX039109	17265320	2209960960	17265320	128	1591	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155820	SAMN00194203
Mer-6	SRR095810	SRX041494	13916273	1168966932	13916273	84	1011	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155821	SAMN00194204
Mer-6	SRR095811	SRX039111	18409194	2356376832	18409194	128	1907	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155821	SAMN00194204
Nemrut-1	SRR095812	SRX039110	10037962	843188808	10037962	84	653	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155822	SAMN00194205
Nemrut-1	SRR095813	SRX039110	20122273	1690270932	20122273	84	1415	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155822	SAMN00194205
Nemrut-1	SRR095814	SRX041493	15292783	1957476224	15292783	128	1442	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155822	SAMN00194205
Nie1-2	SRR095815	SRX041495	11265176	946274784	11265176	84	785	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155823	SAMN00194206
Nie1-2	SRR095816	SRX039112	18271838	2338795264	18271838	128	1726	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155823	SAMN00194206
Ped-0	SRR095817	SRX041501	17953052	1508056368	17953052	84	1268	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155824	SAMN00194207
Ped-0	SRR095818	SRX039113	19070532	2441028096	19070532	128	1954	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155824	SAMN00194207
Pra-6	SRR095819	SRX039114	7270546	610725864	7270546	84	442	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155825	SAMN00194208
Pra-6	SRR095820	SRX040760	12205161	1562260608	12205161	128	1138	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155825	SAMN00194208
Pra-6	SRR095821	SRX039114	20319127	1706806668	20319127	84	1381	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155825	SAMN00194208
Qui-0	SRR095822	SRX039115	12068760	1544801280	12068760	128	874	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155826	SAMN00194209
Rue3-1-31	SRR095823	SRX041498	12632467	1061127228	12632467	84	853	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155827	SAMN00194210
Rue3-1-31	SRR095824	SRX039116	17036198	2180633344	17036198	128	1713	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155827	SAMN00194210
Sha	SRR095825	SRX041499	3997730	335809320	3997730	84	226	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155828	SAMN00194211
Sha	SRR095826	SRX041499	4591153	385656852	4591153	84	225	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155828	SAMN00194211
Sha	SRR095827	SRX039117	10170906	1301875968	10170906	128	900	WGS	RANDOM	GENOMIC	PAIRED	180	ILLUMINA	Illumina Genome Analyzer II	SRP000248	PRJNA30811	SRS155828	SAMN00194211
