sample_accession	secondary_sample_accession	run_accession	fastq_ftp
SAMN00194195	SRS155812	SRR095790	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095790/SRR095790_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095790/SRR095790_2.fastq.gz
SAMN00194195	SRS155812	SRR095791	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095791/SRR095791_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095791/SRR095791_2.fastq.gz
SAMN00194196	SRS155813	SRR095792	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095792/SRR095792_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095792/SRR095792_2.fastq.gz
SAMN00194196	SRS155813	SRR095793	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095793/SRR095793_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095793/SRR095793_2.fastq.gz
SAMN00194197	SRS155814	SRR095794	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095794/SRR095794_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095794/SRR095794_2.fastq.gz
SAMN00194197	SRS155814	SRR095795	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095795/SRR095795_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095795/SRR095795_2.fastq.gz
SAMN00194198	SRS155815	SRR095796	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095796/SRR095796_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095796/SRR095796_2.fastq.gz
SAMN00194198	SRS155815	SRR095797	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095797/SRR095797_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095797/SRR095797_2.fastq.gz
SAMN00194199	SRS155816	SRR095798	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095798/SRR095798_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095798/SRR095798_2.fastq.gz
SAMN00194199	SRS155816	SRR095799	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095799/SRR095799_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095799/SRR095799_2.fastq.gz
SAMN00194200	SRS155817	SRR095800	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095800/SRR095800_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095800/SRR095800_2.fastq.gz
SAMN00194200	SRS155817	SRR095801	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095801/SRR095801_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095801/SRR095801_2.fastq.gz
SAMN00194200	SRS155817	SRR095802	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095802/SRR095802_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095802/SRR095802_2.fastq.gz
SAMN00194201	SRS155818	SRR095803	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095803/SRR095803_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095803/SRR095803_2.fastq.gz
SAMN00194201	SRS155818	SRR095804	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095804/SRR095804_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095804/SRR095804_2.fastq.gz
SAMN00194201	SRS155818	SRR095805	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095805/SRR095805_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095805/SRR095805_2.fastq.gz
SAMN00194202	SRS155819	SRR095806	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095806/SRR095806_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095806/SRR095806_2.fastq.gz
SAMN00194202	SRS155819	SRR095807	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095807/SRR095807_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095807/SRR095807_2.fastq.gz
SAMN00194203	SRS155820	SRR095808	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095808/SRR095808_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095808/SRR095808_2.fastq.gz
SAMN00194203	SRS155820	SRR095809	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095809/SRR095809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095809/SRR095809_2.fastq.gz
SAMN00194204	SRS155821	SRR095810	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095810/SRR095810_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095810/SRR095810_2.fastq.gz
SAMN00194204	SRS155821	SRR095811	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095811/SRR095811_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095811/SRR095811_2.fastq.gz
SAMN00194205	SRS155822	SRR095812	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095812/SRR095812_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095812/SRR095812_2.fastq.gz
SAMN00194205	SRS155822	SRR095813	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095813/SRR095813_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095813/SRR095813_2.fastq.gz
SAMN00194205	SRS155822	SRR095814	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095814/SRR095814_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095814/SRR095814_2.fastq.gz
SAMN00194206	SRS155823	SRR095815	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095815/SRR095815_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095815/SRR095815_2.fastq.gz
SAMN00194206	SRS155823	SRR095816	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095816/SRR095816_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095816/SRR095816_2.fastq.gz
SAMN00194207	SRS155824	SRR095817	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095817/SRR095817_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095817/SRR095817_2.fastq.gz
SAMN00194207	SRS155824	SRR095818	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095818/SRR095818_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095818/SRR095818_2.fastq.gz
SAMN00194208	SRS155825	SRR095819	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095819/SRR095819_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095819/SRR095819_2.fastq.gz
SAMN00194208	SRS155825	SRR095820	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095820/SRR095820_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095820/SRR095820_2.fastq.gz
SAMN00194208	SRS155825	SRR095821	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095821/SRR095821_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095821/SRR095821_2.fastq.gz
SAMN00194209	SRS155826	SRR095822	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095822/SRR095822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095822/SRR095822_2.fastq.gz
SAMN00194210	SRS155827	SRR095823	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095823/SRR095823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095823/SRR095823_2.fastq.gz
SAMN00194210	SRS155827	SRR095824	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095824/SRR095824_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095824/SRR095824_2.fastq.gz
SAMN00194211	SRS155828	SRR095825	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095825/SRR095825_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095825/SRR095825_2.fastq.gz
SAMN00194211	SRS155828	SRR095826	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095826/SRR095826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095826/SRR095826_2.fastq.gz
SAMN00194211	SRS155828	SRR095827	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095827/SRR095827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095827/SRR095827_2.fastq.gz
SAMN00194211	SRS155828	SRR095828	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095828/SRR095828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095828/SRR095828_2.fastq.gz
SAMN00194212	SRS155829	SRR095829	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095829/SRR095829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095829/SRR095829_2.fastq.gz
SAMN00194212	SRS155829	SRR095830	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095830/SRR095830_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095830/SRR095830_2.fastq.gz
SAMN00194213	SRS155830	SRR095831	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095831/SRR095831_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095831/SRR095831_2.fastq.gz
SAMN00194213	SRS155830	SRR095832	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095832/SRR095832_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095832/SRR095832_2.fastq.gz
SAMN00194213	SRS155830	SRR095833	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095833/SRR095833_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095833/SRR095833_2.fastq.gz
SAMN00194214	SRS155831	SRR095834	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095834/SRR095834_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095834/SRR095834_2.fastq.gz
SAMN00194214	SRS155831	SRR095835	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095835/SRR095835_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095835/SRR095835_2.fastq.gz
SAMN00194214	SRS155831	SRR095836	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095836/SRR095836_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095836/SRR095836_2.fastq.gz
SAMN00194215	SRS155832	SRR095837	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095837/SRR095837_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095837/SRR095837_2.fastq.gz
SAMN00194215	SRS155832	SRR095838	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095838/SRR095838_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095838/SRR095838_2.fastq.gz
SAMN00194216	SRS155833	SRR095839	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095839/SRR095839_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095839/SRR095839_2.fastq.gz
SAMN00194216	SRS155833	SRR095840	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095840/SRR095840_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095840/SRR095840_2.fastq.gz
SAMN00194217	SRS155834	SRR095841	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095841/SRR095841_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095841/SRR095841_2.fastq.gz
SAMN00194217	SRS155834	SRR095842	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095842/SRR095842_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095842/SRR095842_2.fastq.gz
SAMN00194218	SRS155835	SRR095843	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095843/SRR095843_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095843/SRR095843_2.fastq.gz
SAMN00194218	SRS155835	SRR095844	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095844/SRR095844_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095844/SRR095844_2.fastq.gz
SAMN00194219	SRS155836	SRR095845	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095845/SRR095845_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095845/SRR095845_2.fastq.gz
SAMN00194219	SRS155836	SRR095846	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095846/SRR095846_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095846/SRR095846_2.fastq.gz
SAMN00194219	SRS155836	SRR095847	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095847/SRR095847_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095847/SRR095847_2.fastq.gz
SAMN00194220	SRS155837	SRR095848	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095848/SRR095848_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095848/SRR095848_2.fastq.gz
SAMN00194220	SRS155837	SRR095849	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095849/SRR095849_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095849/SRR095849_2.fastq.gz
SAMN00194220	SRS155837	SRR095850	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095850/SRR095850_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095850/SRR095850_2.fastq.gz
SAMN00194221	SRS155838	SRR095851	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095851/SRR095851_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095851/SRR095851_2.fastq.gz
SAMN00194221	SRS155838	SRR095852	ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095852/SRR095852_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR095/SRR095852/SRR095852_2.fastq.gz
